ds,y
2023-01-01,681
2023-01-08,2065
2023-01-15,4340
2023-01-22,3268
2023-01-29,4455
2023-02-05,3173
2023-02-12,3698
2023-02-19,5468
2023-02-26,4582
2023-03-05,4199
2023-03-12,4400
2023-03-19,2610
2023-03-26,4457
2023-04-02,4781
2023-04-09,5412
2023-04-16,4591
2023-04-23,4015
2023-04-30,3904
2023-05-07,3416
2023-05-14,4282
2023-05-21,3810
2023-05-28,4508
2023-06-04,4220
2023-06-11,4212
2023-06-18,3452
2023-06-25,3824
2023-07-02,3475
2023-07-09,3143
2023-07-16,4487
2023-07-23,3880
2023-07-30,3596
2023-08-06,5681
2023-08-13,4326
2023-08-20,3059
2023-08-27,3193
2023-09-03,4194
2023-09-10,3530
2023-09-17,4896
2023-09-24,2683
2023-10-01,4414
2023-10-08,3968
2023-10-15,3640
2023-10-22,4930
2023-10-29,4056
2023-11-05,5019
2023-11-12,4346
2023-11-19,3105
2023-11-26,4579
2023-12-03,4258
2023-12-10,2924
2023-12-17,4835
2023-12-24,3767
2023-12-31,3803
2024-01-07,3388
2024-01-14,4289
2024-01-21,4282
2024-01-28,3171
2024-02-04,3200
2024-02-11,2940
2024-02-18,4701
2024-02-25,3491
2024-03-03,3385
2024-03-10,5321
2024-03-17,3816
2024-03-24,2838
2024-03-31,4135
2024-04-07,4437
2024-04-14,4163
2024-04-21,4157
2024-04-28,4327
2024-05-05,2910
2024-05-12,3751
2024-05-19,3456
2024-05-26,4060
2024-06-02,3987
2024-06-09,3724
2024-06-16,2892
2024-06-23,5560
2024-06-30,3662
2024-07-07,3815
2024-07-14,2414
2024-07-21,3640
2024-07-28,3268
2024-08-04,4401
2024-08-11,2896
2024-08-18,3713
2024-08-25,3313
2024-09-01,4837
2024-09-08,4077
2024-09-15,2722
2024-09-22,3168
2024-09-29,4136
2024-10-06,4333
2024-10-13,5115
2024-10-20,3483
2024-10-27,4605
2024-11-03,3936
2024-11-10,4248
2024-11-17,4012
2024-11-24,4959
2024-12-01,3826
2024-12-08,4072
2024-12-15,4174
2024-12-22,5207
2024-12-29,3641
2025-01-05,4495
2025-01-12,3365
2025-01-19,4236
2025-01-26,4750
2025-02-02,3728
2025-02-09,3719
2025-02-16,4366
2025-02-23,3838
2025-03-02,4281
2025-03-09,3470
2025-03-16,4751
2025-03-23,2881
2025-03-30,4678
2025-04-06,3806
2025-04-13,3220
2025-04-20,3196
2025-04-27,4017
2025-05-04,3395
2025-05-11,2948
2025-05-18,4442
2025-05-25,4313
2025-06-01,3538
2025-06-08,3367
2025-06-15,3370
2025-06-22,3565
2025-06-29,3505
2025-07-06,5016
2025-07-13,4724
2025-07-20,3792
2025-07-27,4299
2025-08-03,3287
2025-08-10,4262
2025-08-17,3796
2025-08-24,3645
2025-08-31,3147
2025-09-07,4712
2025-09-14,5357
2025-09-21,3453
2025-09-28,2618
